name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.2,15,12.0,0.2,0.2000000000000001,4.163336342344337e-16,0.08,custom_erdos_renyi,0.9800796508789062,0.9640600461077145,NaN,522,40000,9.978634230578542e-6,NaN,99.38923368371172
g0.215,15,12.0,0.215,0.2150000000000001,5.163828021512356e-16,0.081,custom_erdos_renyi,0.9800796508789062,0.9640842100418819,NaN,522,40000,9.9230926751126e-6,NaN,99.38923368371172
g0.23,15,12.0,0.23,0.23000000000000026,1.0860877414811314e-15,0.082,custom_erdos_renyi,0.9800796508789062,0.9640791340457692,0.9948956105631862,522,6101,9.929482237158727e-6,9.924384171106082e-6,99.38923368371172
g0.26,15,12.0,0.26,0.26000000000000023,8.540177112501203e-16,0.084,custom_erdos_renyi,0.9800796508789062,0.9640608466099689,NaN,522,40000,9.978534623700241e-6,NaN,99.38923368371172
g0.275,15,12.0,0.275,0.27499999999999997,2.0185873175002846e-16,0.085,custom_erdos_renyi,0.9800796508789062,0.9640754951928079,NaN,522,40000,9.937928551195796e-6,NaN,99.38923368371172
g0.305,15,12.0,0.305,0.305,0.0,0.087,custom_erdos_renyi,0.9800796508789062,0.9640868174530761,0.9941831830247088,522,5219,9.917939087444871e-6,9.987975944009131e-6,99.38923368371172
g0.32,15,12.0,0.32,0.3200000000000002,5.204170427930421e-16,0.088,custom_erdos_renyi,0.9800796508789062,0.9640566403288156,NaN,522,40000,9.995356314324022e-6,NaN,99.38923368371172
g0.335,15,12.0,0.335,0.3352487271501238,0.0007424691048471833,0.089,custom_erdos_renyi,0.9800796508789062,0.9640691250560417,0.9989299123585493,522,40000,9.969637801893194e-6,210.23280243461562,99.38923368371172
g0.35,15,12.0,0.35,0.35,0.0,0.09,custom_erdos_renyi,0.9800796508789062,0.9640729362932813,NaN,522,40000,9.946911111002876e-6,NaN,99.38923368371172
g0.365,15,12.0,0.365,0.36818475591544136,0.008725358672442118,0.082,custom_erdos_renyi,0.9800796508789062,0.9640700376047222,NaN,522,40000,9.96258556087981e-6,NaN,99.38923368371172
